model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,roc_auc,average_precision,run_dir
qlstm,0.8739583333333333,0.8723342990457403,0.8739583333333334,0.8724276115420776,0.982186259920635,,,analysis_clean_s
lstm,0.8760416666666667,0.8748757088508641,0.8760416666666667,0.8743186197155297,0.981029265873016,,,analysis_clean_s
transformer,0.9989583333333332,0.9989669421487604,0.9989583333333334,0.9989583152485286,1.0,,,analysis_clean_s
autoencoder,0.2479166666666666,0.5578793023614755,0.5595238095238095,0.2479036094376638,,0.8547718253968254,0.9695047376781396,analysis_clean_s
qlstm,0.8427083333333333,0.8370217519732441,0.8427083333333334,0.8311278379468954,0.9786631944444444,,,analysis_drift_s
lstm,0.85625,0.8567905208068223,0.85625,0.8559996237491201,0.9798586309523808,,,analysis_drift_s
transformer,0.9385416666666668,0.9389302645909412,0.9385416666666668,0.9384189541237118,0.9944295634920636,,,analysis_drift_s
autoencoder,0.30625,0.5575143785946487,0.5821428571428571,0.302955375014718,,0.7601190476190476,0.946976042286439,analysis_drift_s
qlstm,0.8697916666666666,0.8689579177015911,0.8697916666666666,0.8693293607653958,0.9820709325396826,,,analysis_asym_s
lstm,0.865625,0.8668938180563044,0.865625,0.8632974522274691,0.9820696924603176,,,analysis_asym_s
transformer,0.9052083333333332,0.9060559015352156,0.9052083333333334,0.9046235960275522,0.9899900793650792,,,analysis_asym_s
autoencoder,0.2791666666666667,0.5525,0.5666666666666667,0.2779130434782608,,0.8322519841269841,0.9605140312005648,analysis_asym_s
qlstm,0.46875,0.5823788676519067,0.7638888888888888,0.6202999380449092,0.9594640709688348,,,analysis_unknown_s
lstm,0.4738636363636364,0.6110618324366245,0.7722222222222221,0.6421134342960398,0.9472242935580398,,,analysis_unknown_s
transformer,0.4886363636363636,0.6248498333283682,0.7962962962962963,0.6572293075752814,0.955816843806459,,,analysis_unknown_s
autoencoder,0.4710227272727272,0.5538829591461171,0.7045731707317073,0.4027646410249401,,0.874329268292683,0.988402235283012,analysis_unknown_s
